t,acc,,,,,,,,,,,,,,,,
10.40,17.8,,,,,,,,,,,,,,,,
10.42,28.4,,,,,,,,,,,,,,,,
10.44,22.0,,,,,,,,,,,,,,,,
10.46,5.0,,,,,,,,,,,,,,,,
10.48,-7.8,,,,,,,,,,,,,,,,
10.50,-0.2,,,,,,,,,,,,,,,,
10.52,10.9,,,,,,,,,,,,,,,,
10.54,8.7,,,,,,,,,,,,,,,,
10.56,9.1,,,,,,,,,,,,,,,,
10.58,20.7,,,,,,,,,,,,,,,,
10.60,29.0,,,,,,,,,,,,,,,,
10.62,12.4,,,,,,,,,,,,,,,,
10.64,-11.5,,,,,,,,,,,,,,,,
10.66,-27.6,,,,,,,,,,,,,,,,
10.68,-25.2,,,,,,,,,,,,,,,,
10.70,-6.5,,,,,,,,,,,,,,,,
10.72,7.8,,,,,,,,,,,,,,,,
10.74,20.7,,,,,,,,,,,,,,,,
10.76,27.5,,,,,,,,,,,,,,,,
10.78,30.4,,,,,,,,,,,,,,,,
10.80,26.8,,,,,,,,,,,,,,,,
10.82,9.9,,,,,,,,,,,,,,,,
10.84,-11.9,,,,,,,,,,,,,,,,
10.86,-26.6,,,,,,,,,,,,,,,,
10.88,-29.5,,,,,,,,,,,,,,,,
10.90,-31.1,,,,,,,,,,,,,,,,
10.92,-25.5,,,,,,,,,,,,,,,,
10.94,-11.9,,,,,,,,,,,,,,,,
10.96,4.3,,,,,,,,,,,,,,,,
10.98,19.0,,,,,,,,,,,,,,,,
11.00,21.5,,,,,,,,,,,,,,,,
11.02,15.5,,,,,,,,,,,,,,,,
11.04,5.0,,,,,,,,,,,,,,,,
11.06,1.0,,,,,,,,,,,,,,,,
11.08,-3.4,,,,,,,,,,,,,,,,
11.10,-8.1,,,,,,,,,,,,,,,,
11.12,-9.5,,,,,,,,,,,,,,,,
11.14,-9.8,,,,,,,,,,,,,,,,
11.16,-8.6,,,,,,,,,,,,,,,,
11.18,13.3,,,,,,,,,,,,,,,,
11.20,26.2,,,,,,,,,,,,,,,,
11.22,19.6,,,,,,,,,,,,,,,,
11.24,12.9,,,,,,,,,,,,,,,,
11.26,14.4,,,,,,,,,,,,,,,,
11.28,18.0,,,,,,,,,,,,,,,,
11.30,13.8,,,,,,,,,,,,,,,,
11.32,5.2,,,,,,,,,,,,,,,,
11.34,5.0,,,,,,,,,,,,,,,,
11.36,9.7,,,,,,,,,,,,,,,,
11.38,8.0,,,,,,,,,,,,,,,,
11.40,7.9,,,,,,,,,,,,,,,,
11.42,8.6,,,,,,,,,,,,,,,,
11.44,8.5,,,,,,,,,,,,,,,,
11.46,2.0,,,,,,,,,,,,,,,,
11.48,-2.9,,,,,,,,,,,,,,,,
11.50,-5.9,,,,,,,,,,,,,,,,
11.52,-11.4,,,,,,,,,,,,,,,,
11.54,-15.4,,,,,,,,,,,,,,,,
11.56,-16.1,,,,,,,,,,,,,,,,
11.58,-12.9,,,,,,,,,,,,,,,,
11.60,-13.9,,,,,,,,,,,,,,,,
11.62,-18.3,,,,,,,,,,,,,,,,
11.64,-8.5,,,,,,,,,,,,,,,,
11.66,-0.3,,,,,,,,,,,,,,,,
11.68,-3.4,,,,,,,,,,,,,,,,
11.70,-16.2,,,,,,,,,,,,,,,,
11.72,-31.6,,,,,,,,,,,,,,,,
11.74,-37.3,,,,,,,,,,,,,,,,
11.76,-29.0,,,,,,,,,,,,,,,,
11.78,-16.7,,,,,,,,,,,,,,,,
11.80,-4.9,,,,,,,,,,,,,,,,
11.82,-5.8,,,,,,,,,,,,,,,,
11.84,-11.3,,,,,,,,,,,,,,,,
11.86,-16.2,,,,,,,,,,,,,,,,
11.88,-26.8,,,,,,,,,,,,,,,,
11.90,-33.9,,,,,,,,,,,,,,,,
11.92,-31.1,,,,,,,,,,,,,,,,
11.94,-18.0,,,,,,,,,,,,,,,,
11.96,-4.3,,,,,,,,,,,,,,,,
11.98,1.5,,,,,,,,,,,,,,,,
12.00,-10.2,,,,,,,,,,,,,,,,
12.02,-17.5,,,,,,,,,,,,,,,,
12.04,-16.2,,,,,,,,,,,,,,,,
12.06,-3.5,,,,,,,,,,,,,,,,
12.08,8.8,,,,,,,,,,,,,,,,
12.10,7.1,,,,,,,,,,,,,,,,
12.12,2.7,,,,,,,,,,,,,,,,
12.14,3.2,,,,,,,,,,,,,,,,
12.16,4.4,,,,,,,,,,,,,,,,
12.18,4.5,,,,,,,,,,,,,,,,
12.20,3.9,,,,,,,,,,,,,,,,
12.22,5.3,,,,,,,,,,,,,,,,
12.24,2.7,,,,,,,,,,,,,,,,
12.26,1.8,,,,,,,,,,,,,,,,
12.28,7.8,,,,,,,,,,,,,,,,
12.30,19.8,,,,,,,,,,,,,,,,
12.32,30.4,,,,,,,,,,,,,,,,
12.34,29.5,,,,,,,,,,,,,,,,
12.36,18.1,,,,,,,,,,,,,,,,
12.38,10.4,,,,,,,,,,,,,,,,
12.40,8.6,,,,,,,,,,,,,,,,
12.42,12.2,,,,,,,,,,,,,,,,
12.44,4.3,,,,,,,,,,,,,,,,
12.46,-8.4,,,,,,,,,,,,,,,,
12.48,-16.3,,,,,,,,,,,,,,,,
12.50,-23.1,,,,,,,,,,,,,,,,
12.52,-13.0,,,,,,,,,,,,,,,,
12.54,2.6,,,,,,,,,,,,,,,,
12.56,14.2,,,,,,,,,,,,,,,,
12.58,18.9,,,,,,,,,,,,,,,,
12.60,24.3,,,,,,,,,,,,,,,,
12.62,26.9,,,,,,,,,,,,,,,,
12.64,18.6,,,,,,,,,,,,,,,,
12.66,10.5,,,,,,,,,,,,,,,,
12.68,6.9,,,,,,,,,,,,,,,,
12.70,10.1,,,,,,,,,,,,,,,,
12.72,19.8,,,,,,,,,,,,,,,,
12.74,18.8,,,,,,,,,,,,,,,,
12.76,10.6,,,,,,,,,,,,,,,,
12.78,5.0,,,,,,,,,,,,,,,,
12.80,3.1,,,,,,,,,,,,,,,,
12.82,1.6,,,,,,,,,,,,,,,,
12.84,2.3,,,,,,,,,,,,,,,,
12.86,-0.7,,,,,,,,,,,,,,,,
12.88,-2.6,,,,,,,,,,,,,,,,
12.90,-0.2,,,,,,,,,,,,,,,,
12.92,8.6,,,,,,,,,,,,,,,,
12.94,11.3,,,,,,,,,,,,,,,,
12.96,11.4,,,,,,,,,,,,,,,,
12.98,10.0,,,,,,,,,,,,,,,,
13.00,0.9,,,,,,,,,,,,,,,,
13.02,-4.1,,,,,,,,,,,,,,,,
13.04,0.9,,,,,,,,,,,,,,,,
13.06,11.8,,,,,,,,,,,,,,,,
13.08,20.3,,,,,,,,,,,,,,,,
13.10,25.8,,,,,,,,,,,,,,,,
13.12,32.3,,,,,,,,,,,,,,,,
13.14,30.9,,,,,,,,,,,,,,,,
13.16,20.2,,,,,,,,,,,,,,,,
13.18,8.1,,,,,,,,,,,,,,,,
13.20,13.3,,,,,,,,,,,,,,,,
13.22,28.6,,,,,,,,,,,,,,,,
13.24,30.6,,,,,,,,,,,,,,,,
13.26,18.8,,,,,,,,,,,,,,,,
13.28,1.8,,,,,,,,,,,,,,,,
13.30,-1.7,,,,,,,,,,,,,,,,
13.32,-1.3,,,,,,,,,,,,,,,,
13.34,-8.0,,,,,,,,,,,,,,,,
13.36,-11.4,,,,,,,,,,,,,,,,
13.38,-6.8,,,,,,,,,,,,,,,,
13.40,3.5,,,,,,,,,,,,,,,,
13.42,1.2,,,,,,,,,,,,,,,,
13.44,-10.3,,,,,,,,,,,,,,,,
13.46,-19.2,,,,,,,,,,,,,,,,
13.48,-19.6,,,,,,,,,,,,,,,,
13.50,-13.7,,,,,,,,,,,,,,,,
13.52,-11.3,,,,,,,,,,,,,,,,
13.54,-14.7,,,,,,,,,,,,,,,,
13.56,-18.9,,,,,,,,,,,,,,,,
13.58,-17.1,,,,,,,,,,,,,,,,
13.60,-10.7,,,,,,,,,,,,,,,,
13.62,-9.1,,,,,,,,,,,,,,,,
13.64,-9.1,,,,,,,,,,,,,,,,
13.66,-8.6,,,,,,,,,,,,,,,,
13.68,-13.5,,,,,,,,,,,,,,,,
13.70,-25.7,,,,,,,,,,,,,,,,
13.72,-35.4,,,,,,,,,,,,,,,,
13.74,-34.5,,,,,,,,,,,,,,,,
13.76,-20.5,,,,,,,,,,,,,,,,
13.78,-6.5,,,,,,,,,,,,,,,,
13.80,-0.4,,,,,,,,,,,,,,,,
13.82,1.5,,,,,,,,,,,,,,,,
13.84,0.6,,,,,,,,,,,,,,,,
13.86,-8.9,,,,,,,,,,,,,,,,
13.88,-20.7,,,,,,,,,,,,,,,,
13.90,-22.2,,,,,,,,,,,,,,,,
13.92,-18.2,,,,,,,,,,,,,,,,
13.94,-12.1,,,,,,,,,,,,,,,,
13.96,-12.0,,,,,,,,,,,,,,,,
13.98,-21.1,,,,,,,,,,,,,,,,
14.00,-29.0,,,,,,,,,,,,,,,,
14.02,-32.4,,,,,,,,,,,,,,,,
14.04,-32.1,,,,,,,,,,,,,,,,
14.06,-32.1,,,,,,,,,,,,,,,,
14.08,-33.3,,,,,,,,,,,,,,,,
14.10,-25.8,,,,,,,,,,,,,,,,
14.12,-10.3,,,,,,,,,,,,,,,,
14.14,4.0,,,,,,,,,,,,,,,,
14.16,9.8,,,,,,,,,,,,,,,,
14.18,3.4,,,,,,,,,,,,,,,,
14.20,-1.6,,,,,,,,,,,,,,,,
14.22,-0.1,,,,,,,,,,,,,,,,
14.24,8.1,,,,,,,,,,,,,,,,
14.26,13.6,,,,,,,,,,,,,,,,
14.28,6.8,,,,,,,,,,,,,,,,
14.30,-3.2,,,,,,,,,,,,,,,,
14.32,-10.2,,,,,,,,,,,,,,,,
14.34,-10.4,,,,,,,,,,,,,,,,
14.36,-0.8,,,,,,,,,,,,,,,,
14.38,10.3,,,,,,,,,,,,,,,,
14.40,14.7,,,,,,,,,,,,,,,,
14.42,16.6,,,,,,,,,,,,,,,,
14.44,11.2,,,,,,,,,,,,,,,,
14.46,4.9,,,,,,,,,,,,,,,,
14.48,4.6,,,,,,,,,,,,,,,,
14.50,11.8,,,,,,,,,,,,,,,,
14.52,9.4,,,,,,,,,,,,,,,,
14.54,1.0,,,,,,,,,,,,,,,,
14.56,-0.3,,,,,,,,,,,,,,,,
14.58,-0.5,,,,,,,,,,,,,,,,
14.60,1.1,,,,,,,,,,,,,,,,
14.62,7.6,,,,,,,,,,,,,,,,
14.64,15.3,,,,,,,,,,,,,,,,
14.66,22.3,,,,,,,,,,,,,,,,
14.68,25.8,,,,,,,,,,,,,,,,
14.70,31.7,,,,,,,,,,,,,,,,
14.72,36.2,,,,,,,,,,,,,,,,
14.74,28.0,,,,,,,,,,,,,,,,
14.76,11.1,,,,,,,,,,,,,,,,
14.78,-0.3,,,,,,,,,,,,,,,,
14.80,-8.0,,,,,,,,,,,,,,,,
14.82,-4.5,,,,,,,,,,,,,,,,
14.84,2.7,,,,,,,,,,,,,,,,
14.86,-8.3,,,,,,,,,,,,,,,,
14.88,-18.4,,,,,,,,,,,,,,,,
14.90,-12.4,,,,,,,,,,,,,,,,
14.92,5.2,,,,,,,,,,,,,,,,
14.94,19.9,,,,,,,,,,,,,,,,
14.96,20.5,,,,,,,,,,,,,,,,
14.98,7.9,,,,,,,,,,,,,,,,
15.00,-4.8,,,,,,,,,,,,,,,,
15.02,-10.5,,,,,,,,,,,,,,,,
15.04,-12.5,,,,,,,,,,,,,,,,
15.06,-12.9,,,,,,,,,,,,,,,,
15.08,-12.2,,,,,,,,,,,,,,,,
15.10,-5.1,,,,,,,,,,,,,,,,
15.12,6.8,,,,,,,,,,,,,,,,
15.14,15.1,,,,,,,,,,,,,,,,
15.16,16.7,,,,,,,,,,,,,,,,
15.18,26.3,,,,,,,,,,,,,,,,
15.20,44.2,,,,,,,,,,,,,,,,
15.22,51.8,,,,,,,,,,,,,,,,
15.24,38.2,,,,,,,,,,,,,,,,
15.26,12.1,,,,,,,,,,,,,,,,
15.28,-14.3,,,,,,,,,,,,,,,,
15.30,-25.0,,,,,,,,,,,,,,,,
15.32,-22.7,,,,,,,,,,,,,,,,
15.34,-11.9,,,,,,,,,,,,,,,,
15.36,-4.5,,,,,,,,,,,,,,,,
15.38,4.6,,,,,,,,,,,,,,,,
15.40,4.4,,,,,,,,,,,,,,,,
15.42,-1.8,,,,,,,,,,,,,,,,
15.44,-6.5,,,,,,,,,,,,,,,,
15.46,-8.3,,,,,,,,,,,,,,,,
15.48,3.0,,,,,,,,,,,,,,,,
15.50,15.5,,,,,,,,,,,,,,,,
15.52,13.9,,,,,,,,,,,,,,,,
15.54,3.8,,,,,,,,,,,,,,,,
15.56,-1.1,,,,,,,,,,,,,,,,
15.58,10.6,,,,,,,,,,,,,,,,
15.60,29.9,,,,,,,,,,,,,,,,
15.62,49.0,,,,,,,,,,,,,,,,
15.64,63.8,,,,,,,,,,,,,,,,
15.66,66.4,,,,,,,,,,,,,,,,
15.68,58.1,,,,,,,,,,,,,,,,
15.70,37.4,,,,,,,,,,,,,,,,
15.72,13.2,,,,,,,,,,,,,,,,
15.74,2.1,,,,,,,,,,,,,,,,
15.76,5.4,,,,,,,,,,,,,,,,
15.78,15.0,,,,,,,,,,,,,,,,
15.80,23.1,,,,,,,,,,,,,,,,
15.82,15.5,,,,,,,,,,,,,,,,
15.84,-1.3,,,,,,,,,,,,,,,,
15.86,-13.5,,,,,,,,,,,,,,,,
15.88,-13.5,,,,,,,,,,,,,,,,
15.90,-11.2,,,,,,,,,,,,,,,,
15.92,-15.5,,,,,,,,,,,,,,,,
15.94,-17.9,,,,,,,,,,,,,,,,
15.96,-7.8,,,,,,,,,,,,,,,,
15.98,5.2,,,,,,,,,,,,,,,,
16.00,6.7,,,,,,,,,,,,,,,,
16.02,-10.3,,,,,,,,,,,,,,,,
16.04,-14.3,,,,,,,,,,,,,,,,
16.06,-5.0,,,,,,,,,,,,,,,,
16.08,14.1,,,,,,,,,,,,,,,,
16.10,26.2,,,,,,,,,,,,,,,,
16.12,30.6,,,,,,,,,,,,,,,,
16.14,35.3,,,,,,,,,,,,,,,,
16.16,39.8,,,,,,,,,,,,,,,,
16.18,36.5,,,,,,,,,,,,,,,,
16.20,19.4,,,,,,,,,,,,,,,,
16.22,2.6,,,,,,,,,,,,,,,,
16.24,6.3,,,,,,,,,,,,,,,,
16.26,30.2,,,,,,,,,,,,,,,,
16.28,42.5,,,,,,,,,,,,,,,,
16.30,36.3,,,,,,,,,,,,,,,,
16.32,15.6,,,,,,,,,,,,,,,,
16.34,-8.6,,,,,,,,,,,,,,,,
16.36,-18.3,,,,,,,,,,,,,,,,
16.38,-22.1,,,,,,,,,,,,,,,,
16.40,-34.4,,,,,,,,,,,,,,,,
16.42,-44.3,,,,,,,,,,,,,,,,
16.44,-51.9,,,,,,,,,,,,,,,,
16.46,-50.5,,,,,,,,,,,,,,,,
16.48,-43.8,,,,,,,,,,,,,,,,
16.50,-41.8,,,,,,,,,,,,,,,,
16.52,-50.3,,,,,,,,,,,,,,,,
16.54,-67.1,,,,,,,,,,,,,,,,
16.56,-71.4,,,,,,,,,,,,,,,,
16.58,-42.2,,,,,,,,,,,,,,,,
16.60,-1.0,,,,,,,,,,,,,,,,
16.62,38.6,,,,,,,,,,,,,,,,
16.64,45.0,,,,,,,,,,,,,,,,
16.66,17.9,,,,,,,,,,,,,,,,
16.68,-11.3,,,,,,,,,,,,,,,,
16.70,-37.1,,,,,,,,,,,,,,,,
16.72,-52.0,,,,,,,,,,,,,,,,
16.74,-47.2,,,,,,,,,,,,,,,,
16.76,-12.4,,,,,,,,,,,,,,,,
16.78,22.9,,,,,,,,,,,,,,,,
16.80,19.2,,,,,,,,,,,,,,,,
16.82,-19.8,,,,,,,,,,,,,,,,
16.84,-59.6,,,,,,,,,,,,,,,,
16.86,-85.8,,,,,,,,,,,,,,,,
16.88,-97.8,,,,,,,,,,,,,,,,
16.90,-100.1,,,,,,,,,,,,,,,,
16.92,-91.5,,,,,,,,,,,,,,,,
16.94,-85.6,,,,,,,,,,,,,,,,
16.96,-84.8,,,,,,,,,,,,,,,,
16.98,-72.8,,,,,,,,,,,,,,,,
17.00,-42.1,,,,,,,,,,,,,,,,
17.02,-7.6,,,,,,,,,,,,,,,,
17.04,24.8,,,,,,,,,,,,,,,,
17.06,41.0,,,,,,,,,,,,,,,,
17.08,30.9,,,,,,,,,,,,,,,,
17.10,9.6,,,,,,,,,,,,,,,,
17.12,-6.7,,,,,,,,,,,,,,,,
17.14,-8.7,,,,,,,,,,,,,,,,
17.16,17.6,,,,,,,,,,,,,,,,
17.18,50.3,,,,,,,,,,,,,,,,
17.20,80.2,,,,,,,,,,,,,,,,
17.22,97.9,,,,,,,,,,,,,,,,
17.24,84.3,,,,,,,,,,,,,,,,
17.26,37.3,,,,,,,,,,,,,,,,
17.28,-1.6,,,,,,,,,,,,,,,,
17.30,-47.3,,,,,,,,,,,,,,,,
17.32,-70.7,,,,,,,,,,,,,,,,
17.34,-83.6,,,,,,,,,,,,,,,,
17.36,-78.9,,,,,,,,,,,,,,,,
17.38,-51.9,,,,,,,,,,,,,,,,
17.40,-21.3,,,,,,,,,,,,,,,,
17.42,10.1,,,,,,,,,,,,,,,,
17.44,47.3,,,,,,,,,,,,,,,,
17.46,73.1,,,,,,,,,,,,,,,,
17.48,93.0,,,,,,,,,,,,,,,,
17.50,90.9,,,,,,,,,,,,,,,,
17.52,55.0,,,,,,,,,,,,,,,,
17.54,-3.4,,,,,,,,,,,,,,,,
17.56,-54.9,,,,,,,,,,,,,,,,
17.58,-98.6,,,,,,,,,,,,,,,,
17.60,-132.8,,,,,,,,,,,,,,,,
17.62,-146.0,,,,,,,,,,,,,,,,
17.64,-146.0,,,,,,,,,,,,,,,,
17.66,-143.0,,,,,,,,,,,,,,,,
17.68,-145.5,,,,,,,,,,,,,,,,
17.70,-143.7,,,,,,,,,,,,,,,,
17.72,-133.0,,,,,,,,,,,,,,,,
17.74,-123.1,,,,,,,,,,,,,,,,
17.76,-124.6,,,,,,,,,,,,,,,,
17.78,-122.2,,,,,,,,,,,,,,,,
17.80,-77.4,,,,,,,,,,,,,,,,
17.82,-24.0,,,,,,,,,,,,,,,,
17.84,46.7,,,,,,,,,,,,,,,,
17.86,97.9,,,,,,,,,,,,,,,,
17.88,142.8,,,,,,,,,,,,,,,,
17.90,176.6,,,,,,,,,,,,,,,,
17.92,162.6,,,,,,,,,,,,,,,,
17.94,110.6,,,,,,,,,,,,,,,,
17.96,58.6,,,,,,,,,,,,,,,,
17.98,6.6,,,,,,,,,,,,,,,,
18.00,-40.4,,,,,,,,,,,,,,,,
18.02,-57.4,,,,,,,,,,,,,,,,
18.04,-32.3,,,,,,,,,,,,,,,,
18.06,27.1,,,,,,,,,,,,,,,,
18.08,118.7,,,,,,,,,,,,,,,,
18.10,167.0,,,,,,,,,,,,,,,,
18.12,201.2,,,,,,,,,,,,,,,,
18.14,222.0,,,,,,,,,,,,,,,,
18.16,229.7,,,,,,,,,,,,,,,,
18.18,227.2,,,,,,,,,,,,,,,,
18.20,189.2,,,,,,,,,,,,,,,,
18.22,148.6,,,,,,,,,,,,,,,,
18.24,108.1,,,,,,,,,,,,,,,,
18.26,67.6,,,,,,,,,,,,,,,,
18.28,27.1,,,,,,,,,,,,,,,,
18.30,-5.8,,,,,,,,,,,,,,,,
18.32,-31.3,,,,,,,,,,,,,,,,
18.34,-46.7,,,,,,,,,,,,,,,,
18.36,-54.0,,,,,,,,,,,,,,,,
18.38,-64.7,,,,,,,,,,,,,,,,
18.40,-80.2,,,,,,,,,,,,,,,,
18.42,-85.1,,,,,,,,,,,,,,,,
18.44,-68.5,,,,,,,,,,,,,,,,
18.46,-25.4,,,,,,,,,,,,,,,,
18.48,34.4,,,,,,,,,,,,,,,,
18.50,96.0,,,,,,,,,,,,,,,,
18.52,135.2,,,,,,,,,,,,,,,,
18.54,145.5,,,,,,,,,,,,,,,,
18.56,119.8,,,,,,,,,,,,,,,,
18.58,78.0,,,,,,,,,,,,,,,,
18.60,38.6,,,,,,,,,,,,,,,,
18.62,5.1,,,,,,,,,,,,,,,,
18.64,-19.4,,,,,,,,,,,,,,,,
18.66,-37.3,,,,,,,,,,,,,,,,
18.68,-54.2,,,,,,,,,,,,,,,,
18.70,-68.1,,,,,,,,,,,,,,,,
18.72,-78.8,,,,,,,,,,,,,,,,
18.74,-83.4,,,,,,,,,,,,,,,,
18.76,-82.5,,,,,,,,,,,,,,,,
18.78,-69.9,,,,,,,,,,,,,,,,
18.80,-55.0,,,,,,,,,,,,,,,,
18.82,-38.7,,,,,,,,,,,,,,,,
18.84,-23.2,,,,,,,,,,,,,,,,
18.86,-7.1,,,,,,,,,,,,,,,,
18.88,10.7,,,,,,,,,,,,,,,,
18.90,33.9,,,,,,,,,,,,,,,,
18.92,60.7,,,,,,,,,,,,,,,,
18.94,68.7,,,,,,,,,,,,,,,,
18.96,63.1,,,,,,,,,,,,,,,,
18.98,50.3,,,,,,,,,,,,,,,,
19.00,38.8,,,,,,,,,,,,,,,,
19.02,35.5,,,,,,,,,,,,,,,,
19.04,22.1,,,,,,,,,,,,,,,,
19.06,4.7,,,,,,,,,,,,,,,,
19.08,-10.6,,,,,,,,,,,,,,,,
19.10,-28.1,,,,,,,,,,,,,,,,
19.12,-46.1,,,,,,,,,,,,,,,,
19.14,-55.6,,,,,,,,,,,,,,,,
19.16,-53.2,,,,,,,,,,,,,,,,
19.18,-43.0,,,,,,,,,,,,,,,,
19.20,-36.3,,,,,,,,,,,,,,,,
19.22,-33.0,,,,,,,,,,,,,,,,
19.24,-26.7,,,,,,,,,,,,,,,,
19.26,-17.0,,,,,,,,,,,,,,,,
19.28,-5.2,,,,,,,,,,,,,,,,
19.30,10.9,,,,,,,,,,,,,,,,
19.32,27.7,,,,,,,,,,,,,,,,
19.34,40.4,,,,,,,,,,,,,,,,
19.36,42.1,,,,,,,,,,,,,,,,
19.38,27.8,,,,,,,,,,,,,,,,
19.40,12.1,,,,,,,,,,,,,,,,
19.42,-9.3,,,,,,,,,,,,,,,,
19.44,-24.9,,,,,,,,,,,,,,,,
19.46,-33.6,,,,,,,,,,,,,,,,
19.48,-40.3,,,,,,,,,,,,,,,,
19.50,-43.1,,,,,,,,,,,,,,,,
19.52,-46.6,,,,,,,,,,,,,,,,
19.54,-54.9,,,,,,,,,,,,,,,,
19.56,-71.7,,,,,,,,,,,,,,,,
19.58,-89.6,,,,,,,,,,,,,,,,
19.60,-108.9,,,,,,,,,,,,,,,,
19.62,-113.9,,,,,,,,,,,,,,,,
19.64,-113.5,,,,,,,,,,,,,,,,
19.66,-114.2,,,,,,,,,,,,,,,,
19.68,-109.7,,,,,,,,,,,,,,,,
19.70,-86.2,,,,,,,,,,,,,,,,
19.72,-60.6,,,,,,,,,,,,,,,,
19.74,-28.6,,,,,,,,,,,,,,,,
19.76,10.4,,,,,,,,,,,,,,,,
19.78,45.8,,,,,,,,,,,,,,,,
19.80,66.0,,,,,,,,,,,,,,,,
19.82,81.0,,,,,,,,,,,,,,,,
19.84,77.2,,,,,,,,,,,,,,,,
19.86,64.1,,,,,,,,,,,,,,,,
19.88,56.0,,,,,,,,,,,,,,,,
19.90,56.4,,,,,,,,,,,,,,,,
19.92,46.7,,,,,,,,,,,,,,,,
19.94,23.6,,,,,,,,,,,,,,,,
19.96,-3.6,,,,,,,,,,,,,,,,
19.98,-21.8,,,,,,,,,,,,,,,,
20.00,-45.1,,,,,,,,,,,,,,,,
20.02,-62.8,,,,,,,,,,,,,,,,
20.04,-85.5,,,,,,,,,,,,,,,,
20.06,-100.2,,,,,,,,,,,,,,,,
20.08,-96.2,,,,,,,,,,,,,,,,
20.10,-87.2,,,,,,,,,,,,,,,,
20.12,-78.1,,,,,,,,,,,,,,,,
20.14,-65.3,,,,,,,,,,,,,,,,
20.16,-44.3,,,,,,,,,,,,,,,,
20.18,-32.1,,,,,,,,,,,,,,,,
20.20,-31.5,,,,,,,,,,,,,,,,
20.22,-38.2,,,,,,,,,,,,,,,,
